15612,Czerwonych Maków,4,59-724,Osiecznica
25927,Inne Rościszów,75k,58-250,Pieszyce
2404,Michała Kutuzowa,9,59-700,Bolesławiec
23908,Podwalna,3,58-200,Dzierżoniów
1506,Żwirki i Wigury,14,59-700,Bolesławiec
1953,Kresów II RP,5H,59-700,Bolesławiec
24924,Świdnicka,46A,58-250,Pieszyce
3751,Ludwika Pasteura,1,59-700,Bolesławiec
25231,Tadeusza Kościuszki,30a,00-000,Pieszyce
1017,Kościelna,1,59-700,Bolesławiec
3824,Bronisława Kosiby,42,59-700,Bolesławiec
5161,gen. Józefa Bema,7a,59-700,Bolesławiec
28890,Główna,66a,00-000,Piława Dolna
20229,3 Maja,54a,58-260,Bielawa
37368,Adama Mickiewicza,48a,67-200,Głogów
18918,Wolności,88,58-260,Bielawa
27787,Parkowa,11,58-116,Nowizna
24097,Świdnicka,23,58-200,Dzierżoniów
176,Komuny Paryskiej,15,59-700,Bolesławiec
37366,Mechaniczna,3,67-200,Głogów
2219,Saperska,4,59-700,Bolesławiec
12239,Adama Asnyka,52,00-000,Nowogrodziec
40036,Głogowska,1,67-222,Jerzmanowa
34609,Wiśniowa,29,67-200,Głogów
29261,Wierzbowa,10,00-000,Łagiewniki
21139,Henryka Wieniawskiego,29,58-200,Dzierżoniów
15305,Dębowa,8,59-724,Osiecznica
124,Tadeusza Kościuszki,27,59-700,Bolesławiec
27612,Stawowa,4b,00-000,Piława Dolna
36881,Mikołaja Reja,46,67-200,Głogów
38122,Długa,32A,67-200,Przedmoście
18282,Wolności,35,58-260,Bielawa
36096,Lipowa,1,67-200,Głogów
32554,Gabriela Narutowicza,8,67-200,Głogów
29481,Łowiecka,1/2,00-000,Łagiewniki
2582,Melchiora Wańkowicza,6,59-700,Bolesławiec
37287,Rzemieślnicza,21,67-200,Głogów
34720,Lotników,38a,67-200,Głogów
35778,Polska,41,67-200,Głogów
3347,Stanisława Staszica,110,59-700,Bolesławiec
41076,Zimowa,8,67-210,Modła
23799,Osiedle Kolorowe,15a,58-200,Dzierżoniów
19452,Osiedle Europejskie,50,58-260,Bielawa
29491,Słowiańska,33,00-000,Łagiewniki
18902,Brzozowa,11,58-260,Bielawa
6652,Turkusowa,53,59-700,Kruszyn
24053,Orzechowa,2,58-200,Dzierżoniów
31808,Wrocławska,3,58-230,Niemcza
32688,Samborska,3,67-200,Głogów
32140,Jagiellońska,18,67-200,Głogów
21410,Brzegowa,7,58-200,Dzierżoniów
21129,Kościelna,22,58-200,Dzierżoniów
37038,Obrońców Pokoju,8b,67-200,Głogów
10090,11 Listopada,40,59-706,Gromadka
22443,Słowiańska,18,58-200,Dzierżoniów
729,Bronisława Kosiby,6d,59-700,Bolesławiec
12122,Władysława Sikorskiego,3,00-000,Wykroty
8629,Główna,35,59-700,Kruszyn
26339,Stawowa,6,58-240,Piława Górna
14235,Dębowa,8A,59-730,Milików
20127,Brzozowa,1,58-260,Bielawa
4484,Powstańców Warszawy,5B,59-700,Bolesławiec
2607,Komuny Paryskiej,38c,59-700,Bolesławiec
38438,Osiedlowa,12,67-200,Wilków
34594,Kosmonautów Polskich,35,67-200,Głogów
3022,Henryka Sienkiewicza,1A,59-700,Bolesławiec
40727,Porzeczkowa,14,67-222,Jerzmanowa
18764,Władysława Stanisława Reymonta,6a,58-260,Bielawa
23291,Jałowcowa,18,58-200,Dzierżoniów
24849,Inne Kamionki,14,00-000,Pieszyce
38640,Żyznowska,19,67-200,Wilków
26619,Osiedle Młyńskie,21,58-240,Piława Górna
24759,Tadeusza Kościuszki,12,00-000,Pieszyce
28314,Wąska,4a,00-000,Nowizna
19528,Rotmistrza Witolda Pileckiego,35,58-260,Bielawa
26138,Fabryczna,9,58-240,Piława Górna
24343,Podwalna,21C,58-200,Dzierżoniów
39872,Sierpniowa,2,67-210,Modła
21576,Stanisława Staszica,24,58-200,Dzierżoniów
36110,Jana Kochanowskiego,17,67-200,Głogów
22784,Głogowa,9,58-200,Dzierżoniów
34869,Orzechowa,8,67-200,Głogów
10612,11 Listopada,18,59-706,Gromadka
38829,Kościelna,19,67-200,Serby
4775,Zaułek Sasanek,8,59-700,Bolesławiec
19302,Władysława Grabskiego,2c,58-260,Bielawa
21026,Osiedle Błękitne,15a,58-200,Dzierżoniów
20414,Ludwika Waryńskiego,3,58-260,Bielawa
39506,Szkolna,11,67-200,Przedmoście
28624,Główna,62b,00-000,Piława Dolna
6759,Bolesławiecka,30,59-707,Trzebień
449,Niepodległości,15a,59-700,Bolesławiec
22365,Brzegowa,73,58-200,Dzierżoniów
23229,Osiedle Jasne,15e,58-200,Dzierżoniów
19459,11 Listopada,9,58-260,Bielawa
29727,Kwiatowa,17,00-000,Łagiewniki
33013,Tenisowa,3,67-200,Głogów
24020,Wrocławska,53a,58-200,Dzierżoniów
241,Orla,5a,59-700,Bolesławiec
32685,Folwarczna,7,67-200,Głogów
2121,Stefana Starzyńskiego,29,59-700,Bolesławiec
23475,Nowowiejska,131,58-200,Dzierżoniów
4622,Dolne Młyny,63,59-700,Bolesławiec
21916,Morelowa,19,58-200,Dzierżoniów
34747,Gwiaździsta,34,67-200,Głogów
26447,Łąkowa,2,58-240,Piława Górna
41623,Leśna,8,67-222,Jerzmanowa
37586,Bolesława Wysokiego,4,67-200,Głogów
28215,Kolejowa,33B,00-000,Mościsko
4663,Narcyzów,4,59-700,Bolesławiec
39841,Urocza,2A,67-210,Bytnik
8405,Cyprysowa,14,59-700,Kruszyn
24980,Mikołaja Kopernika,120,00-000,Pieszyce
37681,Budziszyńska,3B,67-200,Głogów
25323,Nadbrzeżna,11,00-000,Pieszyce
28018,Bielawska,33,00-000,Myśliszów
26849,Wąska,7b,58-240,Piława Górna
35971,Mikołaja Gomółki,4,67-200,Głogów
37390,Mechaniczna,1,67-200,Głogów
24029,Nowowiejska,34,58-200,Dzierżoniów
7120,Wiązowa,3,59-700,Kruszyn
22326,Południowa,1,58-200,Dzierżoniów
38972,Polna,24,67-200,Wilków
3534,Hugo Kołłątaja,20a,59-700,Bolesławiec
19062,Łabędzia,6,58-260,Bielawa
23142,Osiedle Jasne,19c,58-200,Dzierżoniów
4871,Śluzowa,15B,59-700,Bolesławiec
30368,Błękitna,12,00-000,Oleszna
29159,Nadrzeczna,1,00-000,Łagiewniki
23765,Jodłowa,10,58-200,Dzierżoniów
32128,Grodzieńska,39,67-200,Głogów
20961,11 Listopada,48,58-200,Dzierżoniów
27177,Sowia,3,00-000,Książnica
28617,Spacerowa,8,00-000,Piława Dolna
21613,Ignacego Krasickiego,49,58-200,Dzierżoniów
33774,Saturna,27,67-200,Głogów
23944,Zacisze,38,58-200,Dzierżoniów
24856,Bolesława Chrobrego,27,00-000,Pieszyce
18388,Piastowska,41,58-260,Bielawa
29811,Wrocławska,8,00-000,Łagiewniki
